Clave,Descripción,Línea,Pub,MM,Cj,min
10229,ACEITE 340ml SPRAY PAM,ABARR,235.00,235.00,235.00,235.00
10157,ACEITE 5 lt/2 CRISTAL,ABAAC,195.00,195.00,190.00,190.00
10158,ACEITE 900 ml/12 CRISTAL MARAVILA,ABAAC,44.00,44.00,41.00,41.00
101613,ACEITE AGUACATE 1 LT INES,ABAIN,312.35,312.35,279.87,279.87
10151,ACEITE AGUACATE VIRGEN 250ml/6 INES,ABAIN,118.00,118.00,108.00,102.00
101521,ACEITE AJONJOLI 1.6lt  KADOYA,ORIEN,"1,380.00","1,380.00","1,320.00","1,320.00"
101519,ACEITE AJONJOLI 410ml /12 LKK,ORIEN,175.00,175.00,165.00,165.00
101511,ACEITE AJONJOLI PICANTE 250ml/12 INES,ABAIN,83.20,83.20,75.52,71.68
101512,ACEITE AJONJOLI TOSTADO 1lt/12 INES,ABAIN,169.80,169.80,158.00,155.00
10152,ACEITE AJONJOLI TOSTADO 250ml/12 INES,ABAIN,65.76,65.76,59.69,56.66
10211,ACEITE AJONJOLI TOSTADO C/4/3.78lt INES,ABAIN,555.00,555.00,535.00,535.00
16539,ACEITE CACAHUATE TOSTADO 250ml/6 INES,ABAIN,64.35,64.35,58.41,55.44
10200,ACEITE COCO CALAHUA C/12,FOOD,135.00,135.00,125.00,120.00
34621,ACEITE LINAZA EX VIRGEN 250ml INES,ABAIN,66.25,66.25,60.13,57.08
10156,ACEITE LITRO/12 123,ABAAC,50.00,50.00,48.00,48.00
10221,ACEITE RICAFRIT 19lt CUBETA  DONAS,ABAAC,775.00,775.00,775.00,775.00
10220,ACEITE SPRAY 170ml/12 PAM,ABARR,71.00,71.00,68.00,68.00
10219,ACEITE SPRAY 180ml/9 NUTRIOLI,ABARR,58.00,58.00,54.00,54.00
101520,ACEITE TRUFA 250ml,FOOD,82.00,82.00,75.00,75.00
10153,ACEITE UVA 250ml/6 INES,ABAIN,81.93,81.93,74.36,70.58
10243,ACEITUNA C/HUESO 6/950 GR CORINA,ABARR,82.00,82.00,78.00,78.00
10264,ACEITUNA ENTERA 350mL/12 CARBONELL,ABARR,48.00,48.00,46.00,43.00
10263,ACEITUNA NEGRA 442ml/12  PEARLS,ABARR,46.00,46.00,41.00,41.00
10278,ACEITUNA NEGRA ROD 3kg/6 CARBONEL,ABARR,224.00,224.00,218.00,218.00
10276,ACEITUNA NEGRA S/H 340/12 CARBONELL,ABARR,41.00,41.00,37.00,37.00
10262,ACEITUNA S/H 245/12 CORINA,ABARR,31.00,31.00,28.50,26.50
10261,ACEITUNA S/H 370/12 CARBONELL,ABARR,56.00,56.00,52.00,52.00
10272,ACEITUNA S/H 950/6  MIGUEL CORINA,ABARR,105.00,105.00,94.00,92.00
10249,ACEITUNA VERDE REBANADA C/3 KG,ABARR,225.00,225.00,215.00,215.00
10265,ACETUNA C/PIMIENTO 340/12 CARBONEL,ABARR,56.00,56.00,54.00,52.00
10281,ACHIOTE 100grs/60  YUCATECO,ABARR,20.00,20.00,16.50,15.50
10280,ACHIOTE 1kg/15  YUCATECO,ABARR,92.00,92.00,86.00,86.00
10300,ACIDO CITRICO KG 25kg,MATPR,50.00,50.00,40.99,40.99
10320,ACITRON,FRUSE,190.00,190.00,180.00,180.00
10364,ADEREZO ESPAGUETI 450gr PRAGNA,SPECI,192.40,192.40,170.20,165.76
10380,ADEREZO MAYONESA 200pz  PORCION HEINZ,FOOD,145.00,145.00,135.00,135.00
40726,ADEREZO MAYONESA 204pz PORCION ZAFRAN,FOOZA,141.00,141.00,138.00,138.00
10340,ADEREZO MAYONESA 3.8 c/4 McCORMIK,ABARR,239.00,239.00,235.00,235.00
10367,ADEREZO MAYONESA 3.8/4 HELLMAN,FOOD,168.00,168.00,161.00,161.00
10338,ADEREZO MAYONESA 500pz PORCION HEINZ 8gr,FOOD,315.00,315.00,305.00,305.00
10535,ADEREZO P BLANCA PIQUIN LIMON 445gr C/12,FOOZA,46.00,46.00,43.00,41.00
17542,ADEREZO RANCH 460gr/12 ZAFRAN,FOOZA,59.00,59.00,52.00,52.00
10363,ADEREZO RANCH BIDON 20 KG ZAFRAN,FOOZA,"1,295.00","1,295.00","1,255.00","1,255.00"
17543,ADEREZO RANCH PORCION 13gr/540p ZAFRAN,FOOZA,750.00,750.00,735.00,735.00
15546,ADEREZO RANCH POUCH 2kg/5 ZAFRAN,FOOZA,155.00,155.00,139.00,135.00
10635,ADEREZO SRIRACHA RANCH 460 GR C/12,FOOZA,46.00,46.00,43.00,41.00
101518,AGAR AGAR POLVO 170gr,ORIEN,68.00,68.00,62.00,62.00
37260,AGITADOR BAMBOO 20 CM C/100pz/20,MADEB,105.00,105.00,95.00,95.00
10400,AGITADOR BOLITA  C/50/100,DESEC,54.00,54.00,48.00,48.00
35040,AJI PANCA CHILE NEGRO C/12PZ pz,BAJA,153.50,153.50,136.44,130.76
36631,AJINOMOTO 1 KG C/18 UMAMI,ORIEN,125.00,125.00,118.00,118.00
104371,AJIPON MIZKAN 710 ml C/12,ORIEN,135.00,135.00,128.00,128.00
10430,AJO CON SAL PRAGNA C/12/1111 GRS,SPECI,146.54,146.54,130.26,124.83
10470,AJO DESMENUZADO 652 GR McCORMICK,SPECI,389.00,389.00,379.00,379.00
10434,AJO GRANULADO ORGANIC 600 GR,SPECI,135.00,135.00,128.00,128.00
10431,AJO GRANULADO PRAGNA C/12/700grs,SPECI,249.41,249.41,221.70,221.70
10425,AJO MOLIDO ORGANIC C/200 GRS,SPECI,55.00,55.00,45.00,43.00
104511,AJO PICADO AGUA 1.36kg,FOOD,125.00,125.00,118.00,118.00
10450,AJO PICADO AGUA C/907 GRS,SPECI,125.00,125.00,118.00,118.00
10432,AJO POLVO PRAGNA C/12/794grs,SPECI,216.08,216.08,192.07,184.07
10441,AJONJOLI DESCORTEZADO,FRUSE,110.00,110.00,88.00,82.00
10445,AJONJOLI GARAPIÑADO,FRUCA,80.00,80.00,75.00,75.00
10442,AJONJOLI NEGRO,FRUSE,90.00,90.00,78.00,78.00
10440,AJONJOLI TOSTADO C/25 KG,FRUSE,60.00,60.00,56.00,56.00
10196,ALCAPARRAS 6/950gr PASIEGA,FOOD,145.00,145.00,139.00,139.00
10195,ALCAPARRAS 900/6 SAN MIGUEL,FOOD,152.00,152.00,144.00,144.00
10190,ALCAPARRAS CARBONELL 100GRS C/12,FOOD,32.00,32.00,31.00,31.00
10192,ALCAPARRAS CARBONELL C/12/350GRS,FOOD,98.00,98.00,94.00,94.00
10193,ALCAPARRAS CORINA C/12/935,FOOD,135.00,135.00,128.00,125.00
10429,ALGA MARINA 100 HOJAS P/SUSHI TOY,ORIEN,275.00,275.00,265.00,265.00
10435,ALGA MARINA CHICA 10 HOJAS,ORIEN,65.00,65.00,58.00,58.00
15551,ALITAS 20kG BIDON ZAFRAN,FOOZA,943.64,943.64,943.64,943.64
10480,ALMENDRA C/CHOCOLATE PREM KG,DULCE,280.00,280.00,240.00,240.00
10460,ALMENDRA CONFITADA LATINOS C/7,DULCE,100.00,100.00,92.00,88.00
10500,ALMENDRA EN POLVO C/11.34,FRUNA,240.00,230.00,215.00,215.00
10540,ALMENDRA FILET CON cuticula  C/11.34,FRUNA,240.00,230.00,215.00,215.00
10560,ALMENDRA FILET SIN cuticula C/11.34,FRUNA,240.00,230.00,215.00,215.00
10600,ALMENDRA NATURAL KG,FRUNA,230.00,210.00,205.00,205.00
10585,ALMENDRA TOSTADA CON SAL,FRUSE,240.00,230.00,215.00,215.00
10610,ALMOHADILLA ABSORBENTE C/3000 PZ,DESEC,875.00,875.00,875.00,875.00
10620,AMARANTO kg,FRUSE,64.00,64.00,58.00,58.00
10660,AMARILLO CANARIO 100 GMS EXT B TROPIC,COLOT,50.74,50.74,46.98,43.22
10680,AMARILLO HUEVO 100 GMS EXTB TROPIC,COLOT,34.22,34.22,31.59,30.26
10690,AMARILLO HUEVO EX B 1 KG TROPIC,COLOT,257.98,257.98,238.15,228.22
10691,AMARILLO HUEVO TROPIC EX B 20 KG,COLOT,"4,857.55","4,857.55","4,663.25","4,350.00"
10700,AMARILLO LIMON 100 GMS EXTB TROPIC,COLOT,37.00,37.00,34.27,31.52
10760,AMARILLO NARANJA 1 KG EXT B TROPIC,COLOT,258.39,258.39,248.05,237.72
10720,AMARILLO NARANJA 100 GMS EX B TROPIC,COLOT,37.00,37.00,34.27,31.52
10730,AMARILLO NARANJA PASTOR EX B 100 G TROPI,COLOT,34.22,34.22,31.59,30.26
10247,ANCHOA GIRASOL 50/50gr PELAZZA,ABARR,42.00,42.00,39.00,36.00
10248,ANCHOAS OLIVA 30/50gr PELAZZA,ABARR,84.00,84.00,84.00,84.00
10780,ARANDANO C/11.34 KG,FRUSE,130.00,120.00,105.00,105.00
10785,ARANDANO ENCHILADO,FRUSE,130.00,130.00,115.00,109.00
10438,ARROZ BASMATI KG,ORIEN,95.00,95.00,88.00,88.00
10816,ARROZ INTEGRAL C/9.07 KG TSURUMAI SUSHI,ORIEN,66.00,66.00,62.00,62.00
10437,ARROZ JAZMIN 1 KG P/ SUSHI ROYAL,ORIEN,72.00,72.00,66.00,66.00
10814,ARROZ PARA SUSHI KILO  BULTO,ORIEN,39.00,39.00,28.70,28.70
10811,ARROZ PRECOCIDO c/5 kg,FOOD,182.00,182.00,176.00,176.00
35320,ARROZ TSURUMAI 2.226 KG C/12 SUSHI,ORIEN,145.00,145.00,145.00,145.00
10436,ARROZ TSURUMAI 6.81 KG SUSHI,ORIEN,425.00,425.00,425.00,425.00
10812,ARROZ VERDE VALLE C/10 KG,ABARR,37.00,37.00,35.50,35.50
34851,ATOLE MAIZENA FRESA 48/47 GR,ABARR,11.00,11.00,11.00,11.00
10446,ATUN ACEITE 144gr/36 DOLORES,ABARR,23.50,23.50,21.50,21.50
10449,ATUN ACEITE 1880gr/6 DOLORES,ABARR,295.00,295.00,295.00,295.00
10448,ATUN AGUA 144gr/36 pz DOLORES,ABARR,23.50,23.50,21.50,21.50
10451,ATUN EN AGUA DOLORES C/6/1.88,ABARR,292.00,292.00,292.00,292.00
10820,AVELLANA GRANEL,FRUNA,230.00,230.00,210.00,210.00
10840,AVENA AGRANEL kg BT C/20 kg,FRUSE,24.00,24.00,20.50,19.50
10180,AZAFRAN chino C/15grs,ABARR,45.00,45.00,38.00,35.00
10181,AZAFRAN ESPAÑOL LA PASIEGA 2 GRS,ABARR,285.00,285.00,285.00,285.00
10860,AZUCAR ESTANDAR C/50,ABAAZ,24.00,24.00,20.80,20.70
10864,AZUCAR ESTANDAR PORCION ZULKA C/1000,ABAAZ,290.89,290.89,278.77,278.77
10862,AZUCAR ESTANDAR ZULKA kileada  C/10/1,ABAAZ,30.00,30.00,24.80,23.90
10920,AZUCAR GLASS PRIMERA C/50,ABAAZ,42.00,42.00,36.00,35.50
10880,AZUCAR GLASS ZULKA C/20/500,ABAAZ,29.00,29.00,28.50,28.50
10941,AZUCAR MASCABADO GRANEL KG,ABAAZ,38.00,38.00,34.00,34.00
10945,AZUCAR MASCABADO PORCION C/1000/5GR SOFI,ABAAZ,325.00,325.00,315.00,315.00
10940,AZUCAR MASCABADO ZULKA  KG,ABAAZ,32.00,32.00,28.50,27.80
10881,AZUCAR MASCABADO ZULKA C/20/500,ABAAZ,26.50,26.50,24.50,24.50
10947,AZUCAR PORCION REFINADA C/1000 /5 gr SOF,ABAAZ,310.00,310.00,295.00,290.00
10861,AZUCAR PORCION REFINADA C/1000 4gr ZULKA,ABAAZ,237.60,237.60,227.70,227.70
10960,AZUCAR REFINADA C/50,ABAAZ,30.00,30.00,26.50,26.20
10980,AZUL 100 GMS EXT B TROPIC,COLOT,84.56,84.56,78.30,72.04
10990,AZUL EX B 1 KG TROPIC,COLOT,682.64,682.64,655.33,628.02
12224,B. VACIO 10X12 PUL 25X30cmC/10 PAQ,BOLVA,243.79,243.79,225.03,217.53
12260,B. VACIO 10X14 PUL 25X35 C/10/100,BOLVA,296.11,296.11,273.33,264.22
12280,B. VACIO 12X16 PUL 30X40cm c/5/100,BOLVA,397.60,397.60,367.01,354.79
12261,B. VACIO 12X18 PUL 30X45 CM C/5/100,BOLVA,414.13,414.13,382.28,369.53
12281,B. VACIO 16X20 PUL 40x50cm C/5/100,BOLVA,696.99,696.99,643.37,621.92
12221,B. VACIO 4X8 PUL 10X20 CM C/20/100,BOLVA,75.03,75.03,69.26,66.96
12222,B. VACIO 6X10 PULG 15X25 CM C/10/100,BOLVA,130.15,130.15,120.14,116.13
12223,B. VACIO 6X12 PUL 15X30 CM C/10/100,BOLVA,149.42,149.42,137.92,133.33
12220,B. VACIO 6X8 PUG 15X20 CM C/10/100,BOLVA,114.11,114.11,105.33,101.82
12235,B. VACIO 8X10 PUL 20X25CM C/10/100,BOLVA,143.40,143.40,132.37,127.96
12240,B. VACIO 8X12 PUL 20X30 CMC/10/100,BOLVA,195.00,195.00,182.00,175.00
104501,BAMBU REBANADAS 2.950/6 AROY D,ORIEN,305.00,305.00,295.00,285.00
11082,BANDERILLA KURUTA,SALSA,75.00,75.00,68.00,64.00
11020,BANDERILLAS COCINERAS 15cm/50pz,MADEB,26.00,26.00,24.00,24.00
11021,BANDERILLAS COCINERAS 20cm C/50pz,MADEB,28.00,28.00,26.00,26.00
11022,BANDERILLAS COCINERAS 25cm 50pz,MADEB,30.00,30.00,28.00,28.00
11023,BANDERILLAS COCINERAS 30cm c/50pz,MADEB,32.00,32.00,28.00,28.00
11088,BARQUILLO ALTESA ALT-432 C/432 PZ,PALET,785.00,785.00,785.00,785.00
11090,BARQUILLO ALTESA ALT640 RICONO C/16/40pz,PALET,86.00,86.00,82.00,82.00
11091,BARQUILLO ALTESA CONO OBLEA C/16/100pz,PALET,74.00,74.00,74.00,74.00
11096,BARQUILLO ALTESA WAFFLE C/120 PZ ALT-120,PALET,715.00,715.00,715.00,715.00
11098,BARQUILLO ALTESA WAFFLE C/200 PZ,PALET,"1,005.00","1,005.00","1,005.00","1,005.00"
11099,BARQUILLO WAFFLE RICOL C/140 PZ,PALET,525.00,525.00,525.00,525.00
36209,BASE ALUM/PASTEL AL-4533 1/2  C/100PZ,MOAIN,20.00,19.00,16.50,16.50
11189,BASE NEGRA 2 DIV CPP3320 INIX C/150,DESIN,8 .00,6 .60,6 .50,6 .50
11190,BASE NEGRA LISO CPP3320 INIX C/150,DESIN,6 .80,6 .80,6 .80,6 .80
36205,BASE Y DOMO BD1268 (AL28) C/100,MOAIN,19.00,19.00,14.50,13.80
26361,BASE Y DOMO C15 15X8.5 C/100 PZ INIX,DOMOO,6 .99,5 .41,4 .85,4 .85
6039,BATIDOR GLOBO 30CM 9452-9,ALEGR,39.67,39.67,33.06,30.42
11226,BATIDOR GLOBO INOX 30 CM 55-025,ALEGR,90.48,81.43,108.58,69.37
11227,BATIDOR INOX 30cm 3-0181,ALEGR,48.72,43.85,58.46,37.35
11225,BATIDOR SILIC 25.7 CM  5-5015,ALEGR,58.87,58.87,52.78,46.69
28540,BEAN SAUSE KOON CHUN FRIJOL 2.27 KG C/6,ORIEN,235.00,235.00,225.00,225.00
37013,BEBIDA CALPICO CONCENTRADO 1LT C/12,ORIEN,130.00,130.00,120.00,115.00
35323,BEBIDA LICHI FOCO 24/350 ML,ORIEN,48.00,48.00,44.00,42.00
11240,BENZOATO DE SODIO GRANULAR,MATPR,120.00,120.00,104.01,98.99
11260,BICARBONATO DE SODIO C/50,MATPR,30.00,30.00,26.00,24.00
11265,BICARBONATO PURO PROMESA C/50/220GR,ABARR,24.00,24.00,21.49,19.80
46044,BIOXIDO DE TITANIO POLVO KG,MATPR,180.00,180.00,165.00,165.00
46042,BIOXIDO DE TITANIO TROPICO C/12/1lt,COLOT,151.38,151.38,145.32,139.27
46043,BIOXIDO DE TITANIO TROPICO C/12/500,COLOT,83.52,83.52,80.18,76.84
46041,BIOXIDO DE TITANIO TROPICO C/4/ 3.75lt G,COLOT,485.00,485.00,471.96,452.30
23364,BISAGRA 1312-41 bajo C/250 INIX 13X12X5,DOMOO,3 .00,2 .51,1 .84,1 .80
26362,BISAGRA 1312-44 alto 250 PZ INIX 13X12X8,DOMOO,2 .20,2 .20,1 .80,1 .80
23365,BISAGRA E-18-PET C/250 18 HUEVOS,DESIN,6 .99,6 .99,6 .10,5 .90
26370,BISAGRA RB110 C/250PZ,DOMOO,5 .05,4 .71,3 .80,3 .70
26371,BISAGRA RB190 C/250PZ,DOMOO,5 .67,5 .29,4 .25,4 .15
11300,BLONDA 10 C/20pq /100,PASTE,60.00,60.00,48.00,44.00
11320,BLONDA 12 C/20pq /100,PASTE,78.00,78.00,60.00,59.00
11340,BLONDA 13 C/20pq /100,PASTE,79.00,79.00,69.00,66.00
11360,BLONDA 14 C/20pq /100,PASTE,85.00,85.00,78.00,74.00
11399,BLONDA 4 ESCOF C/20/100,PASTE,15.00,15.00,12.50,12.50
11400,BLONDA 5 ESCOF C/20/100,PASTE,24.36,18.56,19.50,18.50
11419,BLONDA 7 ESCOF C/20/100,PASTE,28.00,28.00,24.50,22.50
11420,BLONDA 8 ESCOFIER C/20pq /100,PASTE,42.00,42.00,35.99,35.99
12340,BOLSA 5X20 POLIPRO SL,CELOP,16.00,16.00,14.00,14.00
14006,BOLSA 60X90 ROLLO NEGRA PCO,BOLSA,34.00,34.00,29.50,28.50
14180,BOLSA 90X120X300 ROLLO NEGRA PCO,BOLSA,38.00,38.00,35.99,33.00
11460,BOLSA ADHESIVA 10X15+3,CELOA,30.00,30.00,28.00,28.00
11930,BOLSA ADHESIVA 10X20+3,CELOA,30.24,30.24,27.21,25.21
11491,BOLSA ADHESIVA 12X20+3,CELOA,43.06,39.02,36.33,33.64
11490,BOLSA ADHESIVA 12X20+3+3,CELOA,48.00,48.00,44.00,44.00
11480,BOLSA ADHESIVA 13X13+3,CELOA,35.00,35.00,33.00,33.00
11501,BOLSA ADHESIVA 15X16+3+3,CELOA,62.00,62.00,58.00,58.00
11500,BOLSA ADHESIVA 15X21+3,CELOA,52.00,52.00,48.00,48.00
11520,BOLSA ADHESIVA 15X25+3,CELOA,78.32,70.98,66.09,61.19
11540,BOLSA ADHESIVA 16X13+3,CELOA,40.00,40.00,35.99,35.99
11560,BOLSA ADHESIVA 18X25+3,CELOA,69.00,69.00,66.00,66.00
11580,BOLSA ADHESIVA 20X30+3,CELOA,84.00,84.00,78.00,78.00
11600,BOLSA ADHESIVA 21.5X13+3,CELOA,60.00,60.00,55.00,55.00
11615,BOLSA ADHESIVA 21.5X31+3,CELOA,88.00,88.00,82.00,82.00
11620,BOLSA ADHESIVA 22.5X31+3,CELOA,110.00,110.00,105.00,105.00
11640,BOLSA ADHESIVA 22X17+3,CELOA,75.01,75.01,64.99,64.99
11660,BOLSA ADHESIVA 25X35+3,CELOA,120.00,120.00,110.00,110.00
11680,BOLSA ADHESIVA 30X40+3,CELOA,140.00,140.00,130.00,130.00
11700,BOLSA ADHESIVA 35X45+3,CELOA,165.00,165.00,155.00,155.00
11710,BOLSA ADHESIVA 4X20+3,CELOA,30.00,30.00,25.00,25.00
11720,BOLSA ADHESIVA 4X6+3,CELOA,13.00,13.00,11.00,11.00
11740,BOLSA ADHESIVA 6X13+3,CELOA,25.00,25.00,21.00,21.00
11760,BOLSA ADHESIVA 6X16+3,CELOA,25.00,25.00,20.00,20.00
11780,BOLSA ADHESIVA 7X10+3,CELOA,25.00,25.00,22.01,22.01
11800,BOLSA ADHESIVA 7X25+3,CELOA,33.00,33.00,31.00,31.00
11840,BOLSA ADHESIVA 8X12+3,CELOA,26.00,26.00,24.00,24.00
11715,BOLSA ADHESIVA 9X15+3,CELOA,40.00,40.00,35.00,35.00
11860,BOLSA ADHESIVA 9X9+3,CELOA,35.08,31.80,29.60,27.41
12420,BOLSA ASA 20X32 polisuper MIN COL C/30,BOLSU,87.00,87.00,81.00,80.01
14300,BOLSA ASA 25X40 POLISEDA REYMA,BOLSE,64.00,64.00,56.00,54.50
12360,BOLSA ASA 25X40 polisuper CHICA COL C/30,BOLSU,85.00,85.00,79.00,78.00
14302,BOLSA ASA 25X50 POLISEDA REYMA,BOLSE,64.00,64.00,56.00,54.50
14400,BOLSA ASA 30X60 POLISEDA REYMA,BOLSE,64.00,64.00,56.00,54.50
12400,BOLSA ASA 30X60 polisuper GDE COLOR C/30,BOLSU,85.00,85.00,79.00,78.00
14240,BOLSA ASA PCO 30X60 GDE BLANCA,BOANA,74.00,74.00,66.50,63.00
13740,BOLSA ASA PCO 30X60 GDE NATURAL,BOANA,74.00,74.00,66.50,62.00
14280,BOLSA ASA PCO NEGRA 30X60 KG,BOLSA,54.00,54.00,48.00,48.00
14680,BOLSA ASA POLI 20X32 NEGRA REC C/25,BOARE,56.00,56.00,52.00,52.00
14700,BOLSA ASA POLI 25X40 NEGRA REC C/25,BOARE,52.00,52.00,48.00,48.00
14720,BOLSA ASA POLI 25X50 NEGRA REC C/25,BOARE,52.00,52.00,48.00,48.00
14740,BOLSA ASA POLI 30X60 NEGRA REC C/25,BOARE,52.00,52.00,45.00,43.00
14760,BOLSA ASA POLI 35X70 NEGRA REC C/25,BOARE,52.00,52.00,45.00,43.00
14780,BOLSA ASA POLI 45X100 NEGRA REC C/25,BOARE,52.00,52.00,45.00,42.00
13760,BOLSA ASA POLI CHICA ECO-BIODE C/25,BOLSA,60.00,60.00,48.00,47.00
13820,BOLSA ASA POLI GDE ECO-BIODE C/25,BOLSA,60.00,60.00,48.00,47.00
13800,BOLSA ASA POLI MED ECO-BIODE C/25,BOLSA,60.00,60.00,48.00,47.00
13761,BOLSA ASA POLI MINI ECO-BIODE C/25 KG,BOANA,69.99,64.99,62.00,58.00
12440,BOLSA BLANCA 12X17 C/10,PAPEL,130.51,130.51,120.85,116.01
12460,BOLSA BLANCA 15X19 C/10,PAPEL,175.00,175.00,145.00,145.00
12480,BOLSA BLANCA 17X21C/10,PAPEL,225.01,225.01,212.00,212.00
12540,BOLSA BLANCA 9X12 C/20,PAPEL,66.00,63.06,58.38,55.11
11900,BOLSA CEN ADHESIVA 10X20+3+3 %,CELOA,40.00,40.00,35.99,35.99
11920,BOLSA CEN ADHESIVA 12X18+3+3,CELOA,45.00,45.00,35.00,35.00
11940,BOLSA CEN ADHESIVA 13X13+3+3,CELOA,38.00,35.00,31.00,31.00
11960,BOLSA CEN ADHESIVA 15.5X20+3+3 %,CELOA,78.00,78.00,72.00,72.00
11980,BOLSA CEN ADHESIVA 15X25+3+3 %,CELOA,80.01,80.01,72.00,72.00
11942,BOLSA CEN ADHESIVA 16X20+3+3,CELOA,68.00,68.00,62.00,58.00
12020,BOLSA CEN ADHESIVA 18X25+3+3 %,CELOA,110.00,110.00,95.00,95.00
12040,BOLSA CEN ADHESIVA 20X30+3+3 %,CELOA,100.00,100.00,95.00,95.00
12060,BOLSA CEN ADHESIVA 25X35+3+3 %,CELOA,115.00,115.00,105.00,105.00
11730,BOLSA CEN ADHESIVA 4X20+3+3,CELOA,35.00,35.00,33.00,33.00
12100,BOLSA CEN ADHESIVA 5X8+3+3 %,CELOA,20.00,20.00,18.00,18.00
12120,BOLSA CEN ADHESIVA 7X10+3+3 %,CELOA,26.00,26.00,22.01,22.01
12140,BOLSA CEN ADHESIVA 8X15+3+3 %,CELOA,40.00,40.00,35.00,35.00
12160,BOLSA CEN ADHESIVA 8X9+3+3,CELOA,44.00,44.00,40.99,40.99
12180,BOLSA CEN ADHESIVA 9X15+3+3 %,CELOA,38.00,38.00,33.00,33.00
12285,BOLSA CEN ADHESIVA 9X30+3,CELOA,35.00,35.00,31.00,31.00
12200,BOLSA CEN ADHESIVA 9X9+3+3 %,CELOA,35.99,35.99,33.00,33.00
23270,BOLSA CONDIMIX POLLO 10/1 KG,FOOD,118.00,118.00,104.00,104.00
12620,BOLSA PALETERA  #3 millar bt/30,BOLSA,55.68,53.36,53.36,51.04
12640,BOLSA PALOMITAS # 1 CARA bt c/50 %,BOPAP,48.00,48.00,45.00,45.00
12940,BOLSA PAPEL 1 C/80/100,BOPAP,17.01,17.01,14.99,13.79
12980,BOLSA PAPEL 1/2 C/100/100,BOPAP,15.00,14.00,12.50,12.10
13000,BOLSA PAPEL 1/4 C/150/100,BOPAP,13.00,13.00,11.00,10.20
12660,BOLSA PAPEL 10 C/20,BOPAP,48.00,48.00,42.50,42.50
12680,BOLSA PAPEL 12 C/20,BOPAP,52.00,52.00,47.00,43.00
12700,BOLSA PAPEL 14 C/10,BOPAP,59.50,57.37,53.13,48.87
12720,BOLSA PAPEL 16 C/10,BOPAP,63.70,61.42,56.86,52.32
12740,BOLSA PAPEL 2 C/60,BOPAP,26.00,26.00,24.50,23.10
12760,BOLSA PAPEL 20 C/10,BOPAP,68.00,68.00,63.00,61.00
12780,BOLSA PAPEL 25 C/10,BOPAP,76.99,74.24,68.74,63.24
12800,BOLSA PAPEL 3 C/50,BOPAP,25.24,24.34,22.54,21.49
12820,BOLSA PAPEL 30 C/10,BOPAP,81.90,78.97,73.13,67.27
12860,BOLSA PAPEL 4 C/40,BOPAP,30.45,29.36,27.19,25.01
12880,BOLSA PAPEL 5 C/30,BOPAP,36.17,34.87,32.29,29.71
12900,BOLSA PAPEL 6 C/30,BOPAP,39.00,39.00,34.00,31.51
12920,BOLSA PAPEL 8 C/20,BOPAP,46.54,44.88,41.55,38.23
13020,BOLSA PAPEL ASA 35 1/7,BOPAP,12.50,12.50,11.50,10.80
13025,BOLSA PAPEL ASA 45 1/6,BOPAP,14.50,14.50,13.20,12.90
13080,BOLSA PAPEL BLANCA  1 C/80,BOPAP,28.00,28.00,24.00,24.00
